Unnamed: 0,degree,All Hard Skills,No. of Hard Skills,OJV skills,No. of OJV skills,%. of OJV skills,intersect,logskills
2,Aeronautical Engineering,"['Sustainable Development', 'Clipper', 'Scale', 'Working Drawings', 'Legislation', 'Assembly', 'Engineering', 'Energy', 'CAD', 'Dimensioning', 'Descriptive Geometry', 'Environment', 'Kinematics', 'Calorimetry', 'Thermodynamics', 'Elastic', 'Chemistry', 'Heat Transfer', 'Waste Management', 'Supply Chain Management', 'Gas', 'Construction', 'Waves', 'Supply Chain', 'Waste Treatment', 'Geometry', 'Transistor', 'Optics', 'Calculations', 'Electronics', 'Electricity', 'Science', 'Application', 'Investment Decisions', 'Framework']",35,"['Clipper', 'Legislation', 'Dimensioning', 'Kinematics', 'Calorimetry', 'Thermodynamics', 'Chemistry', 'Construction', 'Geometry', 'Transistor', 'Optics', 'Calculations', 'Electronics', 'Electricity']",21,60.0,"{'Legislation', 'Energy', 'Scale', 'Calorimetry', 'Assembly', 'Framework', 'Elastic', 'Supply Chain', 'Electricity', 'Geometry', 'Calculations', 'Sustainable Development', 'Engineering', 'Waste Treatment', 'Descriptive Geometry', 'Optics', 'Clipper', 'Science', 'Electronics', 'Application', 'Thermodynamics', 'Waste Management', 'Heat Transfer', 'Environment', 'Waves', 'Investment Decisions', 'Working Drawings', 'Dimensioning', 'Supply Chain Management', 'Construction', 'Kinematics', 'Gas', 'CAD', 'Transistor', 'Chemistry'}",3.555348061489413
3,Agricultural and Biosystems Engineering,"['Rate Of Return', 'Financial Reporting', 'Surveying', 'Electrical Engineering', 'Of Water', 'Fluid Statics', 'Solar Energy', 'Foundry', 'Economic Analysis', 'Environmental Control', 'Calorimetry', 'Welding', 'Biomass', 'Management Systems', 'Crop Production', 'Grading', 'Groundwater', 'Feasibility Studies', 'Condensers', 'Conservation', 'Statistics', 'Benefits', 'Storage Systems', 'Anatomy', 'Application', 'Buckling', 'Flow Measurement', 'Land Grading', 'Economics', 'Return On Investment', 'Animal Science', 'Machinery', 'Environment', 'Process Engineering', 'Production', 'Thermodynamics', 'Power Tools', 'Sensitivity Analysis', 'Drainage', 'Control Systems', 'Net Present Value', 'Mechanization', 'Tool', 'Science', 'Random Variables', 'Engineering', 'CAD', 'Physiology', 'Financial Statements', 'Intellectual Property', 'Computer Programming', 'Property Rights', 'Indicators', 'Kinematics', 'Climate Change', 'Hydrograph', 'Poultry', 'Heat Transfer', 'Water Conservation', 'Nutrition', 'Probability', 'Trade Agreement', 'Balance Sheet', 'Optics', 'Calculations', 'Livestock Production', 'Engineering Ethics', 'Irrigation', 'Investments', 'Drainage Systems', 'Material Selection', 'Break-Even Analysis', 'Fluid', 'Sustainable Development', 'International Financial Reporting Standards', 'Topographic Surveying', 'Advanced Mathematics', 'Equations', 'Energy', 'Accounting', 'Income Statement', 'Machining', 'Differential Equations', 'Material', 'Shear', 'Chemistry', 'Statistical Software', 'Statistical software', 'Plant Design', 'Statistical Analysis', 'Construction', 'Waves', 'Erosion Control', 'Time Value Of Money', 'Aquaculture', 'Refrigeration', 'Control Engineering', 'Electricity', 'Reduction', 'Experimental Design']",100,"['Foundry', 'Calorimetry', 'Biomass', 'Groundwater', 'Condensers', 'Conservation', 'Statistics', 'Anatomy', 'Machinery', 'Thermodynamics', 'Physiology', 'Kinematics', 'Poultry', 'Probability', 'Optics', 'Calculations', 'Investments', 'Equations', 'Accounting', 'Machining', 'Chemistry', 'Construction', 'Aquaculture', 'Refrigeration', 'Electricity']",65,65.0,"{'Buckling', 'Material', 'Livestock Production', 'Statistics', 'Benefits', 'Equations', 'Condensers', 'Calculations', 'Animal Science', 'Feasibility Studies', 'Poultry', 'Electrical Engineering', 'Mechanization', 'Land Grading', 'Surveying', 'CAD', 'Accounting', 'Chemistry', 'Crop Production', 'Water Conservation', 'Intellectual Property', 'Climate Change', 'Differential Equations', 'Calorimetry', 'Financial Reporting', 'Hydrograph', 'Electricity', 'Economics', 'Physiology', 'Random Variables', 'Shear', 'Science', 'Net Present Value', 'Thermodynamics', 'Heat Transfer', 'Environment', 'Anatomy', 'Waves', 'Irrigation', 'Management Systems', 'Solar Energy', 'Construction', 'Statistical Analysis', 'Fluid Statics', 'Trade Agreement', 'Experimental Design', 'Drainage Systems', 'Production', 'Investments', 'Energy', 'Reduction', 'Indicators', 'Rate Of Return', 'Topographic Surveying', 'Environmental Control', 'Probability', 'Groundwater', 'Return On Investment', 'Fluid', 'Control Systems', 'Application', 'Time Value Of Money', 'Balance Sheet', 'Advanced Mathematics', 'Break-Even Analysis', 'International Financial Reporting Standards', 'Conservation', 'Income Statement', 'Kinematics', 'Machinery', 'Material Selection', 'Property Rights', 'Power Tools', 'Financial Statements', 'Refrigeration', 'Aquaculture', 'Machining', 'Drainage', 'Statistical software', 'Engineering Ethics', 'Biomass', 'Nutrition', 'Economic Analysis', 'Erosion Control', 'Grading', 'Computer Programming', 'Storage Systems', 'Sustainable Development', 'Welding', 'Optics', 'Foundry', 'Process Engineering', 'Sensitivity Analysis', 'Of Water', 'Flow Measurement', 'Tool', 'Statistical Software', 'Control Engineering', 'Plant Design', 'Engineering'}",4.605170185988092
4,Agriculture,"['Chemical Composition', 'Genetics', 'Production Management', 'Epidemiology', 'Transmission', 'Laboratory Techniques', 'Farming', 'Population Dynamics', 'Laboratory Procedures', 'Weed Control', 'Drawing', 'Eukaryotes', 'Sampling', 'Environment', 'Photography', 'Disease Management', 'Production', 'Poultry', 'Biology', 'Plant Propagation', 'Microfinance', 'Land Use', 'Ecology', 'Nutrition', 'Marketing', 'Conservation', 'Illustration', 'Supply Chain', 'Taxonomy', 'Landscaping', 'Curation', 'Viruses', 'Metabolism', 'Land Management', 'Mechanics', 'Agriculture', 'Disease Prevention', 'Soil Conservation', 'Soil Health', 'Morphology', 'Application', 'Biosecurity', 'Dissemination', 'Disease Control']",44,"['Genetics', 'Epidemiology', 'Transmission', 'Farming', 'Drawing', 'Photography', 'Poultry', 'Biology', 'Microfinance', 'Ecology', 'Marketing', 'Conservation', 'Illustration', 'Taxonomy', 'Curation', 'Viruses', 'Metabolism', 'Mechanics', 'Morphology', 'Biosecurity', 'Dissemination']",29,65.9090909090909,"{'Laboratory Techniques', 'Biosecurity', 'Production', 'Disease Control', 'Drawing', 'Soil Health', 'Chemical Composition', 'Transmission', 'Mechanics', 'Epidemiology', 'Microfinance', 'Agriculture', 'Soil Conservation', 'Photography', 'Nutrition', 'Supply Chain', 'Genetics', 'Eukaryotes', 'Dissemination', 'Landscaping', 'Land Management', 'Curation', 'Disease Management', 'Weed Control', 'Ecology', 'Morphology', 'Poultry', 'Metabolism', 'Application', 'Biology', 'Marketing', 'Sampling', 'Environment', 'Plant Propagation', 'Population Dynamics', 'Land Use', 'Conservation', 'Illustration', 'Viruses', 'Taxonomy', 'Disease Prevention', 'Laboratory Procedures', 'Farming', 'Production Management'}",3.784189633918261
5,Anthropology,"['Medicine', 'Cultural Anthropology', 'Anthropology', 'Environmental Anthropology', 'Cultural Diversity', 'Archaeology', 'Social Development', 'Social Sciences', 'Learning Styles']",9,['Anthropology'],5,55.55555555555556,"{'Anthropology', 'Social Development', 'Medicine', 'Learning Styles', 'Social Sciences', 'Cultural Diversity', 'Archaeology', 'Environmental Anthropology', 'Cultural Anthropology'}",2.19722457733622
7,Biology,"['Genetics', 'Cytogenetics', 'Contamination', 'Environmental Quality', 'Photosynthesis', 'Physiology', 'Animal Physiology', 'Environment', 'Production', 'Certain', 'Ecological Systems', 'Biology', 'Food', 'Medicine', 'Ecology', 'Nutrition', 'Evolutionary Genetics', 'Viruses', 'Microbiology', 'Population Genetics', 'Anatomy', 'Morphology', 'Algae']",23,"['Genetics', 'Contamination', 'Physiology', 'Certain', 'Biology', 'Ecology', 'Viruses', 'Anatomy', 'Morphology']",11,47.82608695652174,"{'Algae', 'Production', 'Photosynthesis', 'Nutrition', 'Environmental Quality', 'Food', 'Genetics', 'Animal Physiology', 'Physiology', 'Medicine', 'Microbiology', 'Ecology', 'Morphology', 'Cytogenetics', 'Population Genetics', 'Certain', 'Contamination', 'Biology', 'Environment', 'Ecological Systems', 'Evolutionary Genetics', 'Anatomy', 'Viruses'}",3.1354942159291497
9,Ceramics Engineering,"['Microscopy', 'Median', 'Sintering', 'Working Drawings', 'Composites', 'Fluid Statics', 'Calorimetry', 'Elastic', 'Transport Phenomena', 'Nucleation', 'Image Analysis', 'Manufacturing', 'Engineering Practices', 'Statistics', 'Ceramic Materials', 'Spectroscopic Methods', 'Research And Development', 'Application', 'Kilns', 'Alternating Current', 'Unit Processes', 'Machinery', 'Environment', 'Regression Analysis', 'Production', 'Engineering Research', 'Waste Management', 'Materials Studio', 'Service', 'ANOVA', 'Commercial Software', 'Tool', 'Deformation', 'Phase Diagram', 'Ceramics', 'Framework', 'Legislation', 'Assembly', 'Electron Microscopy', 'Engineering', 'Descriptive Geometry', 'Refractory', 'Training', 'Kinematics', 'Heat Transfer', 'Rigid Bodies', 'Probability', 'Geometry', 'Inertia', 'Microstructure', 'Optics', 'Calculations', 'Precipitation', 'Investment Decisions', 'Fluid', 'Sustainable Development', 'Stoichiometry', 'Scale', 'On-The-Job Training', 'Advanced Mathematics', 'Equations', 'Energy', 'Dimensioning', 'Sampling', 'Differential Equations', 'Cost Estimation', 'Material', 'Economy', 'Shear', 'Chemistry', 'Statistical Software', 'Statistical software', 'Ceramic Engineering', 'Plant Design', 'Marketing', 'Construction', 'Waves', 'Waste Treatment', 'Time Value Of Money', 'Electrical Wiring', 'Crystallography', 'Electricity', 'Acceptance Sampling']",83,"['Microscopy', 'Median', 'Composites', 'Calorimetry', 'Statistics', 'Machinery', 'Deformation', 'Ceramics', 'Legislation', 'Kinematics', 'Probability', 'Geometry', 'Inertia', 'Optics', 'Calculations', 'Precipitation', 'Equations', 'Dimensioning', 'Economy', 'Chemistry', 'Marketing', 'Construction', 'Crystallography', 'Electricity']",41,49.39759036144578,"{'Material', 'Ceramic Materials', 'Training', 'Inertia', 'Stoichiometry', 'Statistics', 'Equations', 'Transport Phenomena', 'Kilns', 'Calculations', 'Engineering Research', 'Microscopy', 'Commercial Software', 'Sampling', 'Engineering Practices', 'Chemistry', 'Legislation', 'Unit Processes', 'Differential Equations', 'Calorimetry', 'Scale', 'Framework', 'Electricity', 'Materials Studio', 'Geometry', 'Waste Treatment', 'Shear', 'Alternating Current', 'On-The-Job Training', 'Heat Transfer', 'Economy', 'Environment', 'Manufacturing', 'Waves', 'Construction', 'Fluid Statics', 'Rigid Bodies', 'Production', 'Energy', 'Spectroscopic Methods', 'Composites', 'Probability', 'ANOVA', 'Precipitation', 'Fluid', 'Acceptance Sampling', 'Application', 'Time Value Of Money', 'Advanced Mathematics', 'Working Drawings', 'Dimensioning', 'Deformation', 'Kinematics', 'Machinery', 'Microstructure', 'Median', 'Ceramic Engineering', 'Nucleation', 'Cost Estimation', 'Regression Analysis', 'Ceramics', 'Assembly', 'Electrical Wiring', 'Refractory', 'Statistical software', 'Elastic', 'Sustainable Development', 'Descriptive Geometry', 'Optics', 'Phase Diagram', 'Sintering', 'Image Analysis', 'Electron Microscopy', 'Marketing', 'Waste Management', 'Investment Decisions', 'Research And Development', 'Crystallography', 'Tool', 'Statistical Software', 'Service', 'Plant Design', 'Engineering'}",4.418840607796598
10,Chemical Engineering,"['Engineering Design', 'Sedimentation', 'Fluid Mechanics', 'Qualitative Analysis', 'Electrochemistry', 'Energy Conversion', 'Environmental Impact Assessments', 'Product Development', 'Industrial Wastewater', 'Economic Analysis', 'Calorimetry', 'Process Simulation', 'Management Systems', 'Transport Phenomena', 'Organic Synthesis', 'Column Chromatography', 'Fluidization', 'Biochemical Engineering', 'Engineering Practices', 'Statistics', 'Physics', 'Application', 'Laboratory Techniques', 'Unit Processes', 'Simulations', 'Environment', 'Organic Compounds', 'Chemical Process', 'Composite Materials', 'Thermodynamics', 'Process Analysis', 'Organic Chemistry', 'Distillation', 'Service', 'Tool', 'Colloidal Chemistry', 'Environmental Management Systems', 'Random Variables', 'Pollution Prevention', 'Science', 'Biochemistry', 'Piping', 'Ceramics', 'Mass Transfer', 'Engineering', 'CAD', 'Chemical Reaction Engineering', 'Electrolytes', 'Computer Programming', 'Physical Chemistry', 'Training', 'Enzymes', 'Kinematics', 'Colorimetry', 'Biological Materials', 'Electronic Engineering', 'Air Pollution Control', 'Heat Transfer', 'Thermochemistry', 'Filtration', 'Probability', 'Gas', 'Chemical Kinetics', 'Polarimetry', 'Chemical Equilibrium', 'Inertia', 'Optics', 'Calculations', 'Mechanics', 'Electronics', 'Investments', 'Wastewater', 'Investment Decisions', 'Fluid', 'On-The-Job Training', 'Oil', 'Spectrophotometry', 'Advanced Mathematics', 'Equations', 'Energy', 'Differential Equations', 'Material', 'Derivatives', 'Chromatography', 'SOAP', 'Centrifugation', 'Chemistry', 'Statistical Software', 'Statistical software', 'Batch Reactor', 'Plant Design', 'Statistical Analysis', 'Waves', 'Chemical Engineering', 'ImPACT', 'Linear Equations', 'Refrigeration', 'Electricity', 'Experimental Design']",99,"['Sedimentation', 'Electrochemistry', 'Calorimetry', 'Statistics', 'Physics', 'Simulations', 'Thermodynamics', 'Distillation', 'Biochemistry', 'Ceramics', 'Kinematics', 'Thermochemistry', 'Filtration', 'Probability', 'Inertia', 'Optics', 'Calculations', 'Mechanics', 'Electronics', 'Investments', 'Wastewater', 'Spectrophotometry', 'Equations', 'Derivatives', 'Chromatography', 'Chemistry', 'Refrigeration', 'Electricity']",52,52.52525252525253,"{'Material', 'Simulations', 'Oil', 'Training', 'Inertia', 'Wastewater', 'Statistics', 'Enzymes', 'Biological Materials', 'Physics', 'Equations', 'Transport Phenomena', 'Colorimetry', 'Calculations', 'Biochemistry', 'Electrochemistry', 'Mass Transfer', 'Energy Conversion', 'Engineering Practices', 'Derivatives', 'Centrifugation', 'CAD', 'Chemistry', 'Unit Processes', 'Differential Equations', 'Qualitative Analysis', 'Calorimetry', 'Thermochemistry', 'SOAP', 'Batch Reactor', 'Electricity', 'Random Variables', 'Colloidal Chemistry', 'Pollution Prevention', 'Environmental Impact Assessments', 'Science', 'On-The-Job Training', 'Polarimetry', 'Thermodynamics', 'Electronic Engineering', 'Heat Transfer', 'Environment', 'Waves', 'Process Simulation', 'Chemical Reaction Engineering', 'Management Systems', 'Organic Chemistry', 'Engineering Design', 'Physical Chemistry', 'Statistical Analysis', 'Experimental Design', 'Industrial Wastewater', 'Laboratory Techniques', 'Investments', 'Energy', 'Mechanics', 'ImPACT', 'Organic Compounds', 'Column Chromatography', 'Environmental Management Systems', 'Probability', 'Sedimentation', 'Composite Materials', 'Electrolytes', 'Product Development', 'Air Pollution Control', 'Distillation', 'Fluid', 'Chromatography', 'Fluid Mechanics', 'Spectrophotometry', 'Organic Synthesis', 'Linear Equations', 'Biochemical Engineering', 'Application', 'Filtration', 'Advanced Mathematics', 'Process Analysis', 'Kinematics', 'Gas', 'Refrigeration', 'Ceramics', 'Chemical Equilibrium', 'Statistical software', 'Economic Analysis', 'Fluidization', 'Computer Programming', 'Chemical Kinetics', 'Optics', 'Electronics', 'Chemical Engineering', 'Piping', 'Investment Decisions', 'Tool', 'Statistical Software', 'Chemical Process', 'Service', 'Plant Design', 'Engineering'}",4.59511985013459
11,Chemistry,"['Reactivity', 'Nanomaterials', 'Spectrophotometry', 'Spectroscopy', 'Laboratory Procedures', 'Quantum Mechanics', 'Waste Minimization', 'Electrochemistry', 'Sampling', 'Laboratory Reports', 'Metabolic Pathways', 'Physical Chemistry', 'Stereochemistry', 'Certain', 'Thermodynamics', 'Inorganic Chemistry', 'Chemistry', 'Catalysis', 'Chemical Thermodynamics', 'Analytical Chemistry', 'Thermochemistry', 'Organic Chemistry', 'Instrumentation', 'Chemical Kinetics', 'Solubility', 'Chemical Equilibrium', 'Statistics', 'Metabolism', 'Mechanics', 'Sample Preparation', 'Calibration', 'Reduction', 'Application', 'Biochemistry']",34,"['Reactivity', 'Spectrophotometry', 'Spectroscopy', 'Electrochemistry', 'Certain', 'Thermodynamics', 'Chemistry', 'Thermochemistry', 'Instrumentation', 'Statistics', 'Metabolism', 'Mechanics', 'Calibration', 'Biochemistry']",17,50.0,"{'Reactivity', 'Thermochemistry', 'Mechanics', 'Reduction', 'Statistics', 'Chemical Equilibrium', 'Inorganic Chemistry', 'Quantum Mechanics', 'Chemical Kinetics', 'Instrumentation', 'Nanomaterials', 'Laboratory Reports', 'Chemical Thermodynamics', 'Spectrophotometry', 'Biochemistry', 'Solubility', 'Analytical Chemistry', 'Metabolism', 'Catalysis', 'Certain', 'Application', 'Thermodynamics', 'Spectroscopy', 'Electrochemistry', 'Stereochemistry', 'Sampling', 'Waste Minimization', 'Sample Preparation', 'Organic Chemistry', 'Laboratory Procedures', 'Physical Chemistry', 'Metabolic Pathways', 'Chemistry', 'Calibration'}",3.5263605246161616
